,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,website_name,yellowpages_rating,yellowpages_review_count,cmac_rating,cmac_review_count,homeadvisor_rating,homeadvisor_review_count
0,Cal-Tree Services and Landscaping,Bakersfield,+16618345460,5.0,48,3.0,2.0,5.0,1.0,4.7,13.0,https://cal-tree-services-and-landscaping-inc.business.site/,0.0,0.0,0.0,0.0,0.0,0.0
1,Michael's Tree Service,Bakersfield,+16617483332,4.0,36,3.2,9.0,0.0,0.0,0.0,0.0,http://www.treeservicebakersfield.com/,5.0,1.0,5.0,1.0,0.0,0.0
2,Elite Garden and Landscape,Bakersfield,+16613316348,4.5,18,0.0,0.0,1.0,1.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,4.7,24.0
3,AB Tree Doctor,Bakersfield,+16613900199,4.5,17,5.0,15.0,0.0,0.0,0.0,0.0,http://www.lawn-treedoctor.com/,0.0,0.0,0.0,0.0,0.0,0.0
4,Venable's Tree Service,Bakersfield,+16618090268,3.0,14,3.8,13.0,0.0,0.0,4.5,83.0,http://venablestree.com/,0.0,0.0,0.0,0.0,4.5,21.0
5,General Tree Service,Bakersfield,+16613233155,3.5,11,4.1,13.0,0.0,0.0,4.5,29.0,http://www.generaltreeservicebakersfield.com/,5.0,1.0,0.0,0.0,0.0,0.0
6,Salas Tree Service,Bakersfield,+16612049711,5.0,9,5.0,1.0,0.0,0.0,0.0,0.0,http://www.salastreeworx.com/,0.0,0.0,0.0,0.0,4.9,39.0
7,Universal Tree Service,Bakersfield,+16614731589,3.0,9,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0
8,Scott's Tree & Landscape,Bakersfield,+16613436105,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0
9,Innovative Tree Experts,Bakersfield,+16614109037,5.0,5,3.6,9.0,0.0,0.0,0.0,0.0,http://innovativetrees.com/,0.0,0.0,0.0,0.0,4.8,13.0
10,B & M Gardening & Tree Services,Bakersfield,+16613995594,3.0,2,4.0,4.0,0.0,0.0,0.0,0.0,http://bandmtreeservice.com/,4.5,2.0,0.0,0.0,0.0,0.0
