,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,glassdoor_rating,glassdoor_review_count,weddingwire_rating,weddingwire_review_count,yellowpages_rating,yellowpages_review_count,dexknows_rating,dexknows_review_count,giftly_rating,giftly_review_count
0,Hendel's Tree Care & Landscaping,Hamilton,+15137956290,2.0,13,2.8,44.0,4.1,3.0,1.8,29.0,http://hendeltree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Merriman Tree 'n Stump,Cincinnati,+15132324822,4.5,12,4.4,23.0,3.6,23.0,5.0,24.0,http://tree-care-service.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ziehler Lawn and Tree Care,Centerville,+19373129575,5.0,9,4.6,67.0,4.7,26.0,0.0,0.0,https://discoverziehler.com/,4.8,19.0,3.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Corsi Tree Farm,Hamersville,+19373799200,5.0,8,4.7,29.0,4.9,126.0,0.0,0.0,http://www.corsitreefarm.com/,0.0,0.0,0.0,0.0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,The Davey Tree Expert Company,Milford,+15135751733,4.0,4,3.8,24.0,0.0,0.0,4.6,294.0,https://www.davey.com/local-offices/cincinnati-tree-service-and-lawn-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chief Beaver Tree Service,Milford,+15135752428,5.0,3,0.0,0.0,0.0,0.0,4.9,18.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Shawnee Tree,Cincinnati,+15135193555,5.0,3,3.5,8.0,0.0,0.0,4.6,33.0,http://www.shawneetree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tree Images,Cincinnati,+15135284167,3.5,3,4.0,8.0,0.0,0.0,4.8,246.0,https://treeimagescincy.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lefke Tree Experts,Loveland,+15133251783,5.0,3,4.6,31.0,4.9,27.0,0.0,0.0,https://www.treeservicelovelandoh.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Peru's Tree Service,West Chester,+15135541403,2.5,3,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Clean Cut Tree & Landscape,Batavia,+15137698733,3.5,3,3.1,11.0,0.0,0.0,3.8,41.0,https://www.cleancuttrees.com/,4.5,61.0,0.0,0.0,0.0,0.0,4.2,6.0,0.0,0.0,0.0,0.0
11,"Cardinal Landscape, Tree Service & Lawn Care",Lebanon,+15139325623,3.5,3,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0
12,Big Trees 4U,Morrow,+15138351935,1.0,2,5.0,3.0,0.0,0.0,0.0,0.0,http://www.bigtrees4u.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
13,Brown's Tree Service & Landscaping,Hamilton,+15138569733,1.0,2,0.0,0.0,0.0,0.0,4.4,20.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
