,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,website_name,angieslist_rating,angieslist_review_count,homeadvisor_rating,homeadvisor_review_count,facebook_rating,facebook_review_count,houzz_rating,houzz_review_count,birdeye_rating,birdeye_review_count,giftly_rating,giftly_review_count
0,ABQ Landscaping & Maintenance,Albuquerque,+15052592356,4.5,40,4.6,41.0,http://myabqlandscaping.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pete's Landscaping Materials,Albuquerque,+15058229822,2.5,22,3.3,104.0,http://www.peteslandscaping.com/,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Robert's Tree & Landscaping,Albuquerque,+15054895169,3.0,11,0.0,0.0,not claimed on google,4.2,23.0,4.7,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2 Brothers Landscaping,Albuquerque,+15052612681,4.5,10,4.8,49.0,https://2brotherslandscapingnm.com/,0.0,0.0,4.8,61.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ABQ Landscaping,Albuquerque,+15054403742,5.0,9,4.6,41.0,http://myabqlandscaping.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Hilltop Landscape Architects & Contractors,Albuquerque,+15058989690,3.0,9,3.9,48.0,http://www.hilltoplandscaping.com/,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.0,3.9,50.0,0.0,0.0
6,Blossom Trees,Albuquerque,+15052692394,5.0,8,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tazz Landscape and Trash Removal,Albuquerque,+15053558378,4.5,7,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
8,JC Tree Care,Albuquerque,+15059078069,4.0,5,5.0,9.0,http://jctreecare.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Narrow Leaf,Albuquerque,+15058971172,2.0,4,3.5,8.0,http://www.narrowleafinc.net/,4.5,185.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8.0,0.0,0.0
10,R & S Landscaping,Albuquerque,+15052718419,3.5,3,5.0,9.0,http://rslandscapinginc.com/,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Chad's Tree & Shrub Service,Albuquerque,+15053500773,4.5,3,5.0,11.0,not claimed on google,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,6.0,0.0,0.0
12,Eric's Tree Care,Albuquerque,+15052322358,5.0,2,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Omega Landscapes,Albuquerque,+15059997495,3.0,2,5.0,10.0,http://www.omegalandscapes.com/#!contact/cpjh,0.0,0.0,0.0,0.0,4.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Scientific Tree Care Specialists,Albuquerque,+15052560110,1.5,2,4.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Terry's Tree Service,Los Lunas,+15056046045,5.0,2,0.0,0.0,not claimed on google,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
