,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,facebook_rating,facebook_review_count,website_name,birdeye_rating,birdeye_review_count,homeadvisor_rating,homeadvisor_review_count,thumbtack_rating,thumbtack_review_count,com_rating,com_review_count,giftly_rating,giftly_review_count
0,Arundel Tree Service,Pasadena,+14104391900,3.5,10,4.4,31.0,4.2,34.0,4.2,18.0,http://www.arundeltreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CNC Tree Services Removal Experts,Elkridge,+14104130221,3.5,7,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Pro Grass,Lutherville Timonium,+14105611717,3.5,6,4.5,59.0,4.0,26.0,0.0,0.0,http://prograsslawncare.com/,4.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Baltimore Tree Experts,Baltimore,+14103359000,4.0,5,3.8,6.0,0.0,0.0,4.6,4.0,https://www.baltimoretreeexperts.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Columbia Tree & Lawn Service,Jessup,+14107405444,4.0,5,4.6,31.0,4.3,49.0,4.7,7.0,http://www.columbiatreeandlawn.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Bartlett Tree Experts,Finksburg,+14105266655,4.0,5,4.6,9.0,4.8,76.0,4.2,3.0,https://www.bartlett.com/locations/Baltimore-MD.cfm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A & A Tree Experts,Pikesville,+14104864561,3.5,5,3.8,17.0,5.0,17.0,4.9,8.0,http://www.aatreeexperts.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Sustainable Home and Yard,Jessup,+12406363662,5.0,4,5.0,3.0,0.0,0.0,5.0,1.0,http://sustainablehomeandyard.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Four Seasons Nursery & Landscape Services,Bel Air,+14433909273,5.0,3,4.3,3.0,0.0,0.0,4.2,13.0,http://www.fourseasonslandscapemd.com/,0.0,0.0,4.5,116.0,5.0,2.0,0.0,0.0,0.0,0.0
9,Express Tree Service,Brooklyn,+14105017997,3.5,3,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Arbormasters,Owings Mills,+14105215481,5.0,3,0.0,0.0,0.0,0.0,4.6,9.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Excel Tree Expert,Jessup,+14107993266,5.0,3,3.9,20.0,0.0,0.0,0.0,0.0,http://www.exceltreeexperts.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Mary's Landscaping Services,Baltimore,+13015374545,3.5,3,5.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Dave's Tree Service,Essex,+14434697938,1.0,3,1.0,2.0,1.0,5.0,1.0,4.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0
14,McCullough Tree Experts,Dundalk,+14104774533,5.0,2,5.0,7.0,5.0,6.0,0.0,0.0,http://www.mcculloughtreemd.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Just Landscaping,Catonsville,+14432512188,3.0,2,4.5,28.0,4.6,15.0,4.8,20.0,http://www.justlandscapingmd.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Landmark Tree Care INC.,Nottingham,+14108057119,2.5,2,0.0,0.0,0.0,0.0,3.7,2.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,A Busy Beaver Tree Service,Hunt Valley,+14106664448,3.0,2,3.0,4.0,0.0,0.0,0.0,0.0,http://busybeavertree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
18,M & J Landscaping,Laurel,+12404854906,3.0,2,4.2,5.0,5.0,1.0,5.0,1.0,http://www.mandjlandscapingdesign.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Maryland Tree Experts,White Marsh,+14434786124,1.0,2,0.0,0.0,0.0,0.0,4.7,8.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
