,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,website_name,com_rating,com_review_count,angieslist_rating,angieslist_review_count,manta_rating,manta_review_count,homeadvisor_rating,homeadvisor_review_count,birdeye_rating,birdeye_review_count
0,Omaha Tree,Omaha,+14025739573,4.5,10,4.6,26.0,4.9,61.0,https://omahatree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CM's Outdoor Solutions Group,Omaha,+14027381718,4.0,8,5.0,8.0,4.9,15.0,https://cmsoutdoor.com/?utm_source=GMBlisting&utm_medium=organic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dillon Tree Service,Omaha,+14022089039,5.0,5,0.0,0.0,0.0,0.0,not claimed on google,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Tree Services Of Omaha,Omaha,+14026504773,5.0,4,0.0,0.0,4.9,61.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Arbor Aesthetics Tree Service,Omaha,+14024085600,5.0,4,5.0,35.0,4.9,29.0,http://www.arboraesthetics.com/,0.0,0.0,4.8,113.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Torpy Tree Service,Omaha,+14023339664,5.0,4,4.9,15.0,5.0,9.0,http://www.torpytreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A Clean Cut Lawn and Landscape,Omaha,+14026804604,2.5,4,4.4,7.0,4.6,7.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
7,Sunworks,Omaha,+14028844211,4.5,3,4.9,63.0,5.0,15.0,http://www.sunworkslawns.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.7,21.0,0.0,0.0
8,The Davey Tree Expert Company,Omaha,+14022812675,3.5,3,4.2,21.0,0.0,0.0,https://www.davey.com/local-offices/omaha-tree-service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Great Plains Tree Care,Omaha,+14025412831,2.5,3,4.8,21.0,0.0,0.0,http://greatplainstreeomaha.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,25.0
10,Granulawn,Omaha,+14023303511,1.0,3,3.2,21.0,0.0,0.0,http://www.granulawn.com/,0.0,0.0,4.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Outdoor Oasis Landscaping,Omaha,+14028128000,5.0,2,5.0,5.0,0.0,0.0,http://outdooroasisinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Enfield's Tree Service,Elkhorn,+14022893248,4.5,2,3.7,3.0,0.0,0.0,http://www.enfieldstree.com/,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Complete Tree Service,Omaha,+14026899967,3.0,2,1.0,1.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alcove,Omaha,+14029913929,2.5,2,4.8,41.0,0.0,0.0,http://www.alcovecompanies.com/,4.9,69.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
15,Pat's Irish Green Lawn & Landscape,Omaha,+14025985483,2.5,2,3.4,5.0,4.1,6.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Drefs Tree Service,Bellevue,+14027313672,3.0,2,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
