,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,angieslist_rating,angieslist_review_count,facebook_rating,facebook_review_count,website_name,manta_rating,manta_review_count,homeadvisor_rating,homeadvisor_review_count,indeed_rating,indeed_review_count,birdeye_rating,birdeye_review_count,houzz_rating,houzz_review_count
0,Lawn Pride,Indianapolis,+13172516800,3.5,49,4.3,204.0,4.3,429.0,4.3,79.0,http://www.lawnpride.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fred & Son's Hauling & Tree Removal Services,Indianapolis,+13176265973,4.5,17,4.7,42.0,4.9,434.0,4.4,12.0,http://trash-removal-indianapolis.indiana-biz.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Treeo - Indianapolis Tree Service,Indianapolis,+13172540001,4.0,14,4.7,23.0,4.8,524.0,4.5,7.0,http://www.treeotreeservice.com/,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ExperiGreen Lawn Care,Indianapolis,+13175522079,2.0,8,3.9,67.0,3.2,4.0,0.0,0.0,https://experigreen.com/,0.0,0.0,4.6,45.0,4.6,50.0,0.0,0.0,0.0,0.0
4,Long Brothers Tree Service,Greenwood,+13178826594,3.5,7,0.0,0.0,4.7,103.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.0,0.0,0.0
5,The Davey Tree Expert Company,Indianapolis,+13178494760,5.0,6,4.6,11.0,4.7,279.0,0.0,0.0,https://www.davey.com/local-offices/indianapolis-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Bowman Boys Stump Removal,Danville,+13176906700,5.0,4,5.0,38.0,0.0,0.0,4.6,2.0,http://www.bowmanboys.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Blue Ox Tree Care of Indiana,Indianapolis,+13172859501,5.0,4,5.0,5.0,0.0,0.0,4.6,8.0,https://www.blueoxtreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Precision Cut Lawn Service,Greenwood,+13176918663,3.0,6,5.0,1.0,4.5,84.0,4.1,17.0,http://www.precisioncutlawn.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BAM Outdoor,Westfield,+13178961414,2.0,4,3.8,36.0,4.4,145.0,0.0,0.0,https://bamoutdoorinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
10,Tyler's Tree Service,Indianapolis,+13174419156,2.5,3,0.0,0.0,5.0,37.0,4.7,11.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Tree Dynasty,Indianapolis,+13176276783,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Clingerman Tree Expert,Indianapolis,+13178628100,5.0,2,4.4,7.0,0.0,0.0,4.7,14.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
13,Cox's Tree Service,Franklin,+13177365700,1.0,2,3.5,8.0,0.0,0.0,0.0,0.0,http://www.coxstreeservicein.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Indiana Tree Company,Bloomington,+18123274573,3.0,2,4.8,31.0,0.0,0.0,5.0,3.0,http://indianatreecompany.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Bartlett Tree Experts,Indianapolis,+13178791010,5.0,1,4.5,8.0,4.6,323.0,0.0,0.0,https://www.bartlett.com/locations/Indianapolis-IN.cfm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Happy Tree & Landscaping,Indianapolis,+13174287272,5.0,1,0.0,0.0,5.0,2.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Menchhofer Tree Care,Indianapolis,+13176614240,1.0,1,4.7,34.0,4.6,56.0,0.0,0.0,https://www.menchhofertreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
